Título_Obra,ID_NumRevista,ID_Autor,Nombre_firma
Al Sr. D. R. P. Enviándole mis obras,1,9,J. Zorrilla
La mujer piadosa (Fragmentos),1,10,J.M. Torres Caicedo
Desvarío,1,11,José María de Ugarte
"Soneto. ""¡Gloria y pobreza! El inmortal Quintana...""",1,12,Carolina Coronado
Balada. La despedida de una hija,1,13,J. Nombela
Un viaje a la Luna. Prólogo: La pesadilla de Mocquet,2,6,Alejandro Dumas
En el álbum de la señora M…,2,9,J. Zorrilla
La primavera,2,14,Mª del Pilar Sinués de Marco
La perejilera,2,15,Antonio de Trueba
Un viaje a la Luna. (Continuación),3,6,Alejandro Dumas
Al señor Don B. M.,3,3,Emilia Serrano de Wilson
A orillas del Manzanares. La súplica,3,4,Santiago Infante y Palacios
Un viaje a la Luna. (Continuación),4,6,Alejandro Dumas
Fragmentos de la Rosa de Alejandra,4,9,J. Zorrilla
Gente morena,4,15,Antonio de Trueba
Un viaje a la Luna. (Continuación),5,6,Alejandro Dumas
"Al excmo. Sr. D. Agustín Esteban Collantes, en el día de su santo",5,4,Santiago Infante de Palacios
"A la niña Margarita Aurora de Wilson y Serrano, el día de su cumpleaños",5,4,Santiago Infante de Palacios
Costumbres del siglo XIX. I,7,16,José Marco
Margarita. Novela bretona,7,3,No firma
Los escondidos y la tapada. Fragmentos,7,9,José Zorrilla
A mi apreciable amiga la Señora doña M. Del Pilar Sinués de Marco en su álbum,7,3,Em. Serrano de Wilson
Costumbres del siglo XIX.II,8,16,José Marco
Margarita. Novela bretona. (Continuación),8,3,No firma
A la niña Margarita Aurora de Wilson y Serrano,8,14,María del Pilar Sinués de Marco
A María,8,17,Tomás Infante
A su Alteza Real el Príncipe de Asturias,9,3,Em. Serrano de Wilson
Margarita. Novela bretona. (Conclusión),9,3,No firma
El otoño,9,14,María del Pilar Sinués de Marco
"Soneto. ""Aún eco tienen en el alma mía...""",9,18,Fernando José Gargollo
Atentado contra SS. MM. II.,10,3,Emilia Serrano de Wilson
