ID_título|Categoría|Forma|Tipo|Frecuencia
OB001|enviar|Enviando|LEMMA|1
OB001|obra|obras|LEMMA|1
OB001|Sr. D. R. P.|Sr. D. R. P.|NER|1
OB002|mujer|mujer|LEMMA|1
OB002|piadoso|piadosa|LEMMA|1
OB002|Fragmentos|Fragmentos|NER|1
OB003|Desvarío|Desvarío|NER|1
OB004|gloria|Gloria|LEMMA|1
OB004|pobreza|pobreza|LEMMA|1
OB004|Soneto|Soneto|NER|1
OB004|inmortal Quintana...|inmortal Quintana...|NER|1
OB005|despedida|despedida|LEMMA|1
OB005|hija|hija|LEMMA|1
OB005|Balada|Balada|NER|1
OB006|viaje|viaje|LEMMA|1
OB006|prólogo|Prólogo|LEMMA|1
OB006|pesadilla|pesadilla|LEMMA|1
OB006|Luna|Luna|NER|1
OB006|Mocquet|Mocquet|NER|1
OB007|álbum|álbum|LEMMA|1
OB007|señora M…|señora M…|NER|1
OB008|primavera|primavera|LEMMA|1
OB009|perejilera|perejilera|LEMMA|1
OB010|viaje|viaje|LEMMA|1
OB010|continuación|Continuación|LEMMA|1
OB010|Luna|Luna|NER|1
OB011|señor|señor|LEMMA|1
OB011|Don B. M.|Don B. M.|NER|1
OB012|orilla|orillas|LEMMA|1
OB012|súplica|súplica|LEMMA|1
OB012|Manzanares|Manzanares|NER|1
OB013|viaje|viaje|LEMMA|1
OB013|continuación|Continuación|LEMMA|1
OB013|Luna|Luna|NER|1
OB014|fragmentos|Fragmentos|LEMMA|1
OB014|de la Rosa de Alejandra|de la Rosa de Alejandra|NER|1
OB015|gente|Gente|LEMMA|1
OB015|moreno|morena|LEMMA|1
OB016|viaje|viaje|LEMMA|1
OB016|continuación|Continuación|LEMMA|1
OB016|Luna|Luna|NER|1
OB017|excmo|excmo|LEMMA|1
OB017|día|día|LEMMA|1
OB017|santo|santo|LEMMA|1
OB017|Sr. D. Agustín Esteban Collantes|Sr. D. Agustín Esteban Collantes|NER|1
OB017bis|niña|niña|LEMMA|1
OB017bis|día|día|LEMMA|1
OB017bis|cumpleaños|cumpleaños|LEMMA|1
OB017bis|Margarita Aurora de Wilson|Margarita Aurora de Wilson|NER|1
OB017bis|Serrano|Serrano|NER|1
OB018|costumbres|Costumbres|LEMMA|1
OB019|novela|Novela|LEMMA|1
OB019|bretono|bretona|LEMMA|1
OB019|Margarita|Margarita|NER|1
OB020|esconder|escondidos|LEMMA|1
OB020|tapada|tapada|LEMMA|1
OB020|fragmentos|Fragmentos|LEMMA|1
OB021|apreciable|apreciable|LEMMA|1
OB021|amiga|amiga|LEMMA|1
OB021|álbum|álbum|LEMMA|1
OB021|Señora doña M. Del Pilar Sinués de Marco|Señora doña M. Del Pilar Sinués de Marco|NER|1
OB022|costumbres|Costumbres|LEMMA|1
OB023|novela|Novela|LEMMA|1
OB023|bretono|bretona|LEMMA|1
OB023|continuación|Continuación|LEMMA|1
OB023|Margarita|Margarita|NER|1
OB024|niña|niña|LEMMA|1
OB024|Margarita Aurora de Wilson|Margarita Aurora de Wilson|NER|1
OB024|Serrano|Serrano|NER|1
OB025|María|María|NER|1
OB026|Alteza Real|Alteza Real|NER|1
OB026|Príncipe de Asturias|Príncipe de Asturias|NER|1
OB027|novela|Novela|LEMMA|1
OB027|bretono|bretona|LEMMA|1
OB027|Conclusión|Conclusión|LEMMA|1
OB027|Margarita|Margarita|NER|1
OB028|otoño|otoño|LEMMA|1
OB029|aún|Aún|LEMMA|1
OB029|eco|eco|LEMMA|1
OB029|tener|tienen|LEMMA|1
OB029|alma|alma|LEMMA|1
OB029|Soneto|Soneto|NER|1
OB030|atentado|Atentado|LEMMA|1
OB030|SS. MM. II|SS. MM. II|NER|1
OB031|hacer|Hace|LEMMA|1
OB031|año|años|LEMMA|1
OB031|banquero|banquero|LEMMA|1
OB031|mucho|muy|LEMMA|1
OB031|rico|rico|LEMMA|1
OB031|periódico|periódicos|LEMMA|1
OB031|francés|franceses|LEMMA|1
OB031|extranjero|extranjero|LEMMA|1
OB031|El matrimonio de la Princesa real de Inglaterra [...]|El matrimonio de la Princesa real de Inglaterra [...]|NER|1
OB032|Poesía|Poesía|NER|1
OB032|Oda|Oda|NER|1
OB033|buen|buen|LEMMA|1
OB033|amigo|amigo|LEMMA|1
OB033|distinguir|distinguido|LEMMA|1
OB033|escritor|escritor|LEMMA|1
OB033|don|don|LEMMA|1
OB033|prueba|prueba|LEMMA|1
OB033|sincero|sincera|LEMMA|1
