ID_título|Etapa_Dirección|Tipo_título|género
OB001|Primera|Obra|Hombre
OB002|Primera|Obra|Hombre
OB003|Primera|Obra|Hombre
OB004|Primera|Obra|Mujer
OB005|Primera|Obra|Hombre
OB006|Primera|Obra|Hombre
OB007|Primera|Obra|Hombre
OB008|Primera|Obra|Mujer
OB009|Primera|Obra|Hombre
OB010|Primera|Obra|Hombre
OB011|Primera|Obra|Mujer
OB012|Primera|Obra|Hombre
OB013|Primera|Obra|Hombre
OB014|Primera|Obra|Hombre
OB015|Primera|Obra|Hombre
OB016|Primera|Obra|Hombre
OB017|Primera|Obra|Hombre
OB017bis|Primera|Obra|Hombre
OB018|Primera|Obra|Hombre
OB019|Primera|Obra|Mujer
OB020|Primera|Obra|Hombre
OB021|Primera|Obra|Mujer
OB022|Primera|Obra|Hombre
OB023|Primera|Obra|Mujer
OB024|Primera|Obra|Mujer
OB025|Primera|Obra|Hombre
OB026|Primera|Obra|Mujer
OB027|Primera|Obra|Mujer
OB028|Primera|Obra|Mujer
OB029|Primera|Obra|Hombre
OB030|Primera|Obra|Mujer
OB031|Primera|Obra|Mujer
OB032|Primera|Obra|Hombre
OB033|Primera|Obra|Mujer
OB034|Primera|Obra|Hombre
OB035|Primera|Obra|Mujer
OB036|Primera|Obra|Mujer
OB037|Primera|Obra|Mujer
OB038|Primera|Obra|Hombre
OB039|Primera|Obra|Mujer
OB040|Primera|Obra|Mujer
OB041|Primera|Obra|Hombre
OB042|Segunda|Obra|Hombre
OB043|Segunda|Obra|Hombre
OB045|Segunda|Obra|Mujer
OB046|Segunda|Obra|Mujer
OB048|Segunda|Obra|Hombre
OB049|Segunda|Obra|Hombre
OB050|Segunda|Obra|Hombre
OB052|Segunda|Obra|Hombre
OB053|Segunda|Obra|Mujer
OB054|Segunda|Obra|Hombre
OB055|Segunda|Obra|Hombre
OB057|Segunda|Obra|Hombre
OB058|Segunda|Obra|Hombre
OB059|Segunda|Obra|Hombre
OB060|Segunda|Obra|Hombre
OB061|Segunda|Obra|Mujer
OB063|Segunda|Obra|Hombre
OB064|Segunda|Obra|Hombre
OB065|Segunda|Obra|Hombre
OB066|Segunda|Obra|Hombre
OB067|Segunda|Obra|Hombre
OB068|Segunda|Obra|Hombre
OB069|Segunda|Obra|Hombre
OB070|Segunda|Obra|Hombre
OB071|Segunda|Obra|Mujer
OB072|Segunda|Obra|Mujer
OB073|Segunda|Obra|Hombre
OB074|Segunda|Obra|Hombre
OB075|Segunda|Obra|Hombre
OB076|Segunda|Obra|Hombre
OB077|Segunda|Obra|Hombre
OB078|Segunda|Obra|Hombre
OB079|Segunda|Obra|Mujer
OB081|Segunda|Obra|Mujer
OB082|Segunda|Obra|Hombre
OB083|Segunda|Obra|Mujer
OB084|Segunda|Obra|Hombre
OB085|Segunda|Obra|Hombre
OB086|Segunda|Obra|Hombre
OB088|Segunda|Obra|Hombre
OB089|Segunda|Obra|Hombre
OB090|Segunda|Obra|Hombre
OB091|Segunda|Obra|Hombre
OB092|Segunda|Obra|Hombre
OB093|Segunda|Obra|Hombre
OB097|Segunda|Obra|Hombre
OB101|Segunda|Obra|Hombre
OB102|Segunda|Obra|Hombre
OB103|Segunda|Obra|Mujer
OB104|Segunda|Obra|Mujer
OB106|Segunda|Obra|Hombre
OB107|Segunda|Obra|Hombre
OB108|Segunda|Obra|Hombre
OB109|Segunda|Obra|Hombre
OB111|Segunda|Obra|Hombre
OB112|Segunda|Obra|Hombre
OB113|Segunda|Obra|Hombre
OB114|Segunda|Obra|Mujer
OB115|Segunda|Obra|Hombre
OB116|Segunda|Obra|Hombre
OB117|Segunda|Obra|Mujer
OB119|Segunda|Obra|Hombre
OB120|Segunda|Obra|Mujer
OB121|Segunda|Obra|Mujer
OB122|Segunda|Obra|Hombre
OB124|Segunda|Obra|Hombre
OB127|Tercera|Obra|Mujer
OB128|Tercera|Obra|Mujer
OB130|Tercera|Obra|Hombre
OB131|Tercera|Obra|ND
OB132|Tercera|Obra|Mujer
OB133|Tercera|Obra|Mujer
OB134|Tercera|Obra|Mujer
OB135|Tercera|Obra|Mujer
OB136|Tercera|Obra|Hombre
OB137|Tercera|Obra|Hombre
OB138|Tercera|Obra|Mujer
OB139|Tercera|Obra|Mujer
OB140|Tercera|Obra|Mujer
OB141|Tercera|Obra|Hombre
OB142|Tercera|Obra|Mujer
OB143|Tercera|Obra|Hombre
OB144|Tercera|Obra|Mujer
OB145|Tercera|Obra|Mujer
OB146|Tercera|Obra|Mujer
OB148|Tercera|Obra|Mujer
OB149|Tercera|Obra|Mujer
OB150|Tercera|Obra|Mujer
OB152|Tercera|Obra|Hombre
OB153|Tercera|Obra|Hombre
OB154|Tercera|Obra|Mujer
OB155|Tercera|Obra|Mujer
OB156|Tercera|Obra|Hombre
OB158|Tercera|Obra|Hombre
OB160|Tercera|Obra|Mujer
OB161|Tercera|Obra|Hombre
OB162|Tercera|Obra|Mujer
OB163|Tercera|Obra|Hombre
OB164|Tercera|Obra|Mujer
OB165|Tercera|Obra|Mujer
OB166|Tercera|Obra|Mujer
OB167|Tercera|Obra|Mujer
OB168|Tercera|Obra|Hombre
OB169|Tercera|Obra|Hombre
OB170|Tercera|Obra|Mujer
OB171|Tercera|Obra|Hombre
OB172|Tercera|Obra|Hombre
OB173|Tercera|Obra|Mujer
OB174|Tercera|Obra|Mujer
OB175|Tercera|Obra|Hombre
OB176|Tercera|Obra|Mujer
OB177|Tercera|Obra|Hombre
OB178|Tercera|Obra|Mujer
OB180|Tercera|Obra|Mujer
OB181|Tercera|Obra|Mujer
OB182|Tercera|Obra|Mujer
OB183|Tercera|Obra|Hombre
OB184|Tercera|Obra|Hombre
OB185|Tercera|Obra|Mujer
OB187|Tercera|Obra|Hombre
OB188||Obra|Mujer
OB189||Obra|Hombre
OB190||Obra|Hombre
OB191||Obra|Hombre
OB192||Obra|Mujer
OB193||Obra|Hombre
OB194||Obra|Mujer
OB195|Tercera|Obra|Mujer
OB196|Tercera|Obra|Mujer
OB197|Tercera|Obra|Hombre
OB198|Tercera|Obra|Hombre
OB199|Tercera|Obra|Mujer
OB201|Tercera|Obra|Mujer
OB202|Tercera|Obra|Hombre
OB203|Tercera|Obra|Mujer
OB204|Tercera|Obra|Hombre
OB205|Tercera|Obra|Hombre
